object,regime,fold,n_train,n_test,accuracy,roc_auc
answer_state,speaker,actor_18_statement_None,184,8,0.5,0.375
answer_state,speaker,actor_19_statement_None,184,8,0.625,0.6875
answer_state,speaker,actor_20_statement_None,184,8,0.875,1.0
answer_state,speaker,actor_21_statement_None,184,8,0.625,0.625
answer_state,speaker,actor_22_statement_None,184,8,0.875,0.8125
answer_state,speaker,actor_23_statement_None,184,8,1.0,1.0
answer_state,speaker,actor_24_statement_None,184,8,0.5,0.6875
native_lm,speaker,actor_01_statement_None,0,8,0.5,0.625
native_lm,speaker,actor_02_statement_None,0,8,0.5,0.6875
native_lm,speaker,actor_03_statement_None,0,8,0.5,0.25
native_lm,speaker,actor_04_statement_None,0,8,0.5,0.6875
native_lm,speaker,actor_05_statement_None,0,8,0.5,0.5625
native_lm,speaker,actor_06_statement_None,0,8,0.5,0.6875
native_lm,speaker,actor_07_statement_None,0,8,0.5,0.375
native_lm,speaker,actor_08_statement_None,0,8,0.5,0.4375
native_lm,speaker,actor_09_statement_None,0,8,0.5,0.5
native_lm,speaker,actor_10_statement_None,0,8,0.5,0.4375
native_lm,speaker,actor_11_statement_None,0,8,0.5,0.4375
native_lm,speaker,actor_12_statement_None,0,8,0.5,0.625
native_lm,speaker,actor_13_statement_None,0,8,0.5,0.625
native_lm,speaker,actor_14_statement_None,0,8,0.5,0.75
native_lm,speaker,actor_15_statement_None,0,8,0.5,0.5
native_lm,speaker,actor_16_statement_None,0,8,0.5,0.5
native_lm,speaker,actor_17_statement_None,0,8,0.5,0.4375
native_lm,speaker,actor_18_statement_None,0,8,0.5,0.6875
native_lm,speaker,actor_19_statement_None,0,8,0.5,0.625
native_lm,speaker,actor_20_statement_None,0,8,0.5,0.4375
native_lm,speaker,actor_21_statement_None,0,8,0.5,0.375
native_lm,speaker,actor_22_statement_None,0,8,0.5,0.5625
native_lm,speaker,actor_23_statement_None,0,8,0.5,0.3125
native_lm,speaker,actor_24_statement_None,0,8,0.5,0.5
projector,statement,actor_None_statement_01,96,96,0.9479166666666666,0.9895833333333334
projector,statement,actor_None_statement_02,96,96,0.9166666666666666,0.9865451388888888
answer_state,statement,actor_None_statement_01,96,96,0.5,0.4587673611111111
answer_state,statement,actor_None_statement_02,96,96,0.5104166666666666,0.7248263888888888
native_lm,statement,actor_None_statement_01,0,96,0.5,0.5963541666666666
native_lm,statement,actor_None_statement_02,0,96,0.5,0.4513888888888889
projector,joint,actor_01_statement_01,92,4,1.0,1.0
projector,joint,actor_01_statement_02,92,4,0.5,1.0
projector,joint,actor_02_statement_01,92,4,1.0,1.0
projector,joint,actor_02_statement_02,92,4,1.0,1.0
projector,joint,actor_03_statement_01,92,4,1.0,1.0
projector,joint,actor_03_statement_02,92,4,1.0,1.0
projector,joint,actor_04_statement_01,92,4,0.5,0.75
projector,joint,actor_04_statement_02,92,4,0.75,0.75
projector,joint,actor_05_statement_01,92,4,0.75,1.0
projector,joint,actor_05_statement_02,92,4,0.75,1.0
projector,joint,actor_06_statement_01,92,4,1.0,1.0
projector,joint,actor_06_statement_02,92,4,1.0,1.0
projector,joint,actor_07_statement_01,92,4,1.0,1.0
projector,joint,actor_07_statement_02,92,4,0.75,1.0
projector,joint,actor_08_statement_01,92,4,1.0,1.0
projector,joint,actor_08_statement_02,92,4,1.0,1.0
projector,joint,actor_09_statement_01,92,4,0.75,1.0
projector,joint,actor_09_statement_02,92,4,0.5,1.0
projector,joint,actor_10_statement_01,92,4,0.75,1.0
projector,joint,actor_10_statement_02,92,4,1.0,1.0
projector,joint,actor_11_statement_01,92,4,1.0,1.0
projector,joint,actor_11_statement_02,92,4,1.0,1.0
projector,joint,actor_12_statement_01,92,4,1.0,1.0
projector,joint,actor_12_statement_02,92,4,1.0,1.0
projector,joint,actor_13_statement_01,92,4,1.0,1.0
projector,joint,actor_13_statement_02,92,4,1.0,1.0
projector,joint,actor_14_statement_01,92,4,1.0,1.0
projector,joint,actor_14_statement_02,92,4,1.0,1.0
projector,joint,actor_15_statement_01,92,4,0.75,1.0
projector,joint,actor_15_statement_02,92,4,0.75,0.75
projector,joint,actor_16_statement_01,92,4,1.0,1.0
projector,joint,actor_16_statement_02,92,4,1.0,1.0
projector,joint,actor_17_statement_01,92,4,0.5,0.75
projector,joint,actor_17_statement_02,92,4,1.0,1.0
projector,joint,actor_18_statement_01,92,4,1.0,1.0
projector,joint,actor_18_statement_02,92,4,1.0,1.0
projector,joint,actor_19_statement_01,92,4,1.0,1.0
projector,joint,actor_19_statement_02,92,4,1.0,1.0
projector,joint,actor_20_statement_01,92,4,1.0,1.0
projector,joint,actor_20_statement_02,92,4,1.0,1.0
projector,joint,actor_21_statement_01,92,4,1.0,1.0
projector,joint,actor_21_statement_02,92,4,1.0,1.0
projector,joint,actor_22_statement_01,92,4,1.0,1.0
projector,joint,actor_22_statement_02,92,4,1.0,1.0
projector,joint,actor_23_statement_01,92,4,1.0,1.0
projector,joint,actor_23_statement_02,92,4,1.0,1.0
projector,joint,actor_24_statement_01,92,4,0.5,1.0
projector,joint,actor_24_statement_02,92,4,0.75,1.0
answer_state,joint,actor_01_statement_01,92,4,0.5,0.0
answer_state,joint,actor_01_statement_02,92,4,0.5,0.75
answer_state,joint,actor_02_statement_01,92,4,0.5,0.0
answer_state,joint,actor_02_statement_02,92,4,0.5,1.0
answer_state,joint,actor_03_statement_01,92,4,0.5,0.75
answer_state,joint,actor_03_statement_02,92,4,0.5,0.25
answer_state,joint,actor_04_statement_01,92,4,0.5,0.0
answer_state,joint,actor_04_statement_02,92,4,0.5,1.0
answer_state,joint,actor_05_statement_01,92,4,0.5,0.75
answer_state,joint,actor_05_statement_02,92,4,0.5,0.75
answer_state,joint,actor_06_statement_01,92,4,0.5,0.5
answer_state,joint,actor_06_statement_02,92,4,0.5,1.0
answer_state,joint,actor_07_statement_01,92,4,0.5,0.5
answer_state,joint,actor_07_statement_02,92,4,0.5,1.0
answer_state,joint,actor_08_statement_01,92,4,0.5,0.25
answer_state,joint,actor_08_statement_02,92,4,0.5,1.0
answer_state,joint,actor_09_statement_01,92,4,0.5,0.5
answer_state,joint,actor_09_statement_02,92,4,0.5,0.25
answer_state,joint,actor_10_statement_01,92,4,0.5,0.5
answer_state,joint,actor_10_statement_02,92,4,0.5,0.25
answer_state,joint,actor_11_statement_01,92,4,0.5,0.25
answer_state,joint,actor_11_statement_02,92,4,0.5,0.75
answer_state,joint,actor_12_statement_01,92,4,0.5,0.5
answer_state,joint,actor_12_statement_02,92,4,0.5,1.0
answer_state,joint,actor_13_statement_01,92,4,0.5,0.5
answer_state,joint,actor_13_statement_02,92,4,0.5,0.5
answer_state,joint,actor_14_statement_01,92,4,0.5,0.5
answer_state,joint,actor_14_statement_02,92,4,0.75,1.0
answer_state,joint,actor_15_statement_01,92,4,0.5,1.0
answer_state,joint,actor_15_statement_02,92,4,0.5,0.0
answer_state,joint,actor_16_statement_01,92,4,0.5,0.5
answer_state,joint,actor_16_statement_02,92,4,0.5,1.0
answer_state,joint,actor_17_statement_01,92,4,0.5,0.25
answer_state,joint,actor_17_statement_02,92,4,0.5,1.0
answer_state,joint,actor_18_statement_01,92,4,0.5,0.25
answer_state,joint,actor_18_statement_02,92,4,0.5,1.0
answer_state,joint,actor_19_statement_01,92,4,0.5,0.75
answer_state,joint,actor_19_statement_02,92,4,0.5,0.5
answer_state,joint,actor_20_statement_01,92,4,0.5,1.0
answer_state,joint,actor_20_statement_02,92,4,0.5,0.75
answer_state,joint,actor_21_statement_01,92,4,0.5,0.0
answer_state,joint,actor_21_statement_02,92,4,0.5,0.75
answer_state,joint,actor_22_statement_01,92,4,0.5,0.5
answer_state,joint,actor_22_statement_02,92,4,0.5,1.0
answer_state,joint,actor_23_statement_01,92,4,0.5,0.5
answer_state,joint,actor_23_statement_02,92,4,0.5,1.0
answer_state,joint,actor_24_statement_01,92,4,0.5,0.0
answer_state,joint,actor_24_statement_02,92,4,0.5,1.0
native_lm,joint,actor_01_statement_01,0,4,0.5,0.5
native_lm,joint,actor_01_statement_02,0,4,0.5,1.0
native_lm,joint,actor_02_statement_01,0,4,0.5,1.0
native_lm,joint,actor_02_statement_02,0,4,0.5,0.75
native_lm,joint,actor_03_statement_01,0,4,0.5,0.0
native_lm,joint,actor_03_statement_02,0,4,0.5,0.0
native_lm,joint,actor_04_statement_01,0,4,0.5,1.0
native_lm,joint,actor_04_statement_02,0,4,0.5,0.75
native_lm,joint,actor_05_statement_01,0,4,0.5,0.5
native_lm,joint,actor_05_statement_02,0,4,0.5,0.75
native_lm,joint,actor_06_statement_01,0,4,0.5,1.0
native_lm,joint,actor_06_statement_02,0,4,0.5,0.75
native_lm,joint,actor_07_statement_01,0,4,0.5,0.5
native_lm,joint,actor_07_statement_02,0,4,0.5,0.0
native_lm,joint,actor_08_statement_01,0,4,0.5,0.75
native_lm,joint,actor_08_statement_02,0,4,0.5,0.0
native_lm,joint,actor_09_statement_01,0,4,0.5,0.25
native_lm,joint,actor_09_statement_02,0,4,0.5,0.75
native_lm,joint,actor_10_statement_01,0,4,0.5,0.75
native_lm,joint,actor_10_statement_02,0,4,0.5,0.0
native_lm,joint,actor_11_statement_01,0,4,0.5,0.75
native_lm,joint,actor_11_statement_02,0,4,0.5,0.0
native_lm,joint,actor_12_statement_01,0,4,0.5,0.5
native_lm,joint,actor_12_statement_02,0,4,0.5,1.0
native_lm,joint,actor_13_statement_01,0,4,0.5,1.0
native_lm,joint,actor_13_statement_02,0,4,0.5,0.5
native_lm,joint,actor_14_statement_01,0,4,0.5,1.0
native_lm,joint,actor_14_statement_02,0,4,0.5,1.0
native_lm,joint,actor_15_statement_01,0,4,0.5,0.25
native_lm,joint,actor_15_statement_02,0,4,0.5,0.5
native_lm,joint,actor_16_statement_01,0,4,0.5,0.25
native_lm,joint,actor_16_statement_02,0,4,0.5,0.75
native_lm,joint,actor_17_statement_01,0,4,0.5,0.25
native_lm,joint,actor_17_statement_02,0,4,0.5,0.5
native_lm,joint,actor_18_statement_01,0,4,0.5,1.0
native_lm,joint,actor_18_statement_02,0,4,0.5,0.25
native_lm,joint,actor_19_statement_01,0,4,0.5,0.5
native_lm,joint,actor_19_statement_02,0,4,0.5,0.5
native_lm,joint,actor_20_statement_01,0,4,0.5,0.5
native_lm,joint,actor_20_statement_02,0,4,0.5,0.25
native_lm,joint,actor_21_statement_01,0,4,0.5,0.0
native_lm,joint,actor_21_statement_02,0,4,0.5,0.5
native_lm,joint,actor_22_statement_01,0,4,0.5,0.75
native_lm,joint,actor_22_statement_02,0,4,0.5,0.5
native_lm,joint,actor_23_statement_01,0,4,0.5,0.25
native_lm,joint,actor_23_statement_02,0,4,0.5,0.0
native_lm,joint,actor_24_statement_01,0,4,0.5,1.0
native_lm,joint,actor_24_statement_02,0,4,0.5,0.0
