position,layer,regime,fold,n_train,n_test,accuracy,roc_auc
audio,0,speaker,actor_07_statement_None,184,8,0.875,1.0
audio,0,speaker,actor_08_statement_None,184,8,1.0,1.0
audio,0,speaker,actor_09_statement_None,184,8,0.625,1.0
audio,0,speaker,actor_10_statement_None,184,8,1.0,1.0
audio,0,speaker,actor_11_statement_None,184,8,0.875,0.9375
audio,0,speaker,actor_12_statement_None,184,8,0.875,1.0
audio,0,speaker,actor_13_statement_None,184,8,1.0,1.0
audio,0,speaker,actor_14_statement_None,184,8,1.0,1.0
audio,0,speaker,actor_15_statement_None,184,8,0.625,0.875
audio,0,speaker,actor_16_statement_None,184,8,1.0,1.0
audio,0,speaker,actor_17_statement_None,184,8,0.75,0.6875
audio,0,speaker,actor_18_statement_None,184,8,1.0,1.0
audio,0,speaker,actor_19_statement_None,184,8,1.0,1.0
audio,0,speaker,actor_20_statement_None,184,8,1.0,1.0
audio,0,speaker,actor_21_statement_None,184,8,1.0,1.0
audio,0,speaker,actor_22_statement_None,184,8,1.0,1.0
audio,0,speaker,actor_23_statement_None,184,8,1.0,1.0
audio,0,speaker,actor_24_statement_None,184,8,0.875,1.0
audio,0,statement,actor_None_statement_01,96,96,0.9479166666666666,0.9926215277777778
audio,0,statement,actor_None_statement_02,96,96,0.9270833333333334,0.9856770833333334
audio,0,joint,actor_01_statement_01,92,4,1.0,1.0
audio,0,joint,actor_01_statement_02,92,4,0.75,1.0
audio,0,joint,actor_02_statement_01,92,4,1.0,1.0
audio,0,joint,actor_02_statement_02,92,4,1.0,1.0
audio,0,joint,actor_03_statement_01,92,4,1.0,1.0
audio,0,joint,actor_03_statement_02,92,4,1.0,1.0
audio,0,joint,actor_04_statement_01,92,4,0.5,0.75
audio,0,joint,actor_04_statement_02,92,4,0.75,0.75
audio,0,joint,actor_05_statement_01,92,4,0.75,1.0
audio,0,joint,actor_05_statement_02,92,4,0.75,1.0
audio,0,joint,actor_06_statement_01,92,4,1.0,1.0
audio,0,joint,actor_06_statement_02,92,4,1.0,1.0
audio,0,joint,actor_07_statement_01,92,4,1.0,1.0
audio,0,joint,actor_07_statement_02,92,4,0.75,1.0
audio,0,joint,actor_08_statement_01,92,4,1.0,1.0
audio,0,joint,actor_08_statement_02,92,4,1.0,1.0
audio,0,joint,actor_09_statement_01,92,4,0.75,1.0
audio,0,joint,actor_09_statement_02,92,4,0.5,1.0
audio,0,joint,actor_10_statement_01,92,4,0.5,1.0
audio,0,joint,actor_10_statement_02,92,4,1.0,1.0
audio,0,joint,actor_11_statement_01,92,4,1.0,1.0
audio,0,joint,actor_11_statement_02,92,4,1.0,1.0
audio,0,joint,actor_12_statement_01,92,4,1.0,1.0
audio,0,joint,actor_12_statement_02,92,4,1.0,1.0
audio,0,joint,actor_13_statement_01,92,4,1.0,1.0
audio,0,joint,actor_13_statement_02,92,4,0.75,1.0
audio,0,joint,actor_14_statement_01,92,4,1.0,1.0
audio,0,joint,actor_14_statement_02,92,4,1.0,1.0
audio,0,joint,actor_15_statement_01,92,4,1.0,1.0
audio,0,joint,actor_15_statement_02,92,4,0.5,0.75
audio,0,joint,actor_16_statement_01,92,4,1.0,1.0
audio,0,joint,actor_16_statement_02,92,4,1.0,1.0
audio,0,joint,actor_17_statement_01,92,4,0.5,0.75
audio,0,joint,actor_17_statement_02,92,4,1.0,1.0
audio,0,joint,actor_18_statement_01,92,4,1.0,1.0
audio,0,joint,actor_18_statement_02,92,4,1.0,1.0
audio,0,joint,actor_19_statement_01,92,4,1.0,1.0
audio,0,joint,actor_19_statement_02,92,4,1.0,1.0
audio,0,joint,actor_20_statement_01,92,4,1.0,1.0
audio,0,joint,actor_20_statement_02,92,4,1.0,1.0
audio,0,joint,actor_21_statement_01,92,4,1.0,1.0
audio,0,joint,actor_21_statement_02,92,4,1.0,1.0
audio,0,joint,actor_22_statement_01,92,4,1.0,1.0
audio,0,joint,actor_22_statement_02,92,4,1.0,1.0
audio,0,joint,actor_23_statement_01,92,4,1.0,1.0
audio,0,joint,actor_23_statement_02,92,4,1.0,1.0
audio,0,joint,actor_24_statement_01,92,4,0.5,1.0
audio,0,joint,actor_24_statement_02,92,4,0.75,1.0
audio,1,speaker,actor_01_statement_None,184,8,0.75,0.9375
audio,1,speaker,actor_02_statement_None,184,8,1.0,1.0
audio,1,speaker,actor_03_statement_None,184,8,1.0,1.0
audio,1,speaker,actor_04_statement_None,184,8,0.625,0.75
audio,1,speaker,actor_05_statement_None,184,8,0.875,0.9375
audio,1,speaker,actor_06_statement_None,184,8,1.0,1.0
audio,1,speaker,actor_07_statement_None,184,8,0.875,1.0
audio,1,speaker,actor_08_statement_None,184,8,0.875,1.0
audio,1,speaker,actor_09_statement_None,184,8,0.75,0.875
audio,1,speaker,actor_10_statement_None,184,8,1.0,1.0
audio,1,speaker,actor_11_statement_None,184,8,0.875,0.875
audio,1,speaker,actor_12_statement_None,184,8,0.875,1.0
audio,1,speaker,actor_13_statement_None,184,8,1.0,1.0
audio,1,speaker,actor_14_statement_None,184,8,1.0,1.0
audio,1,speaker,actor_15_statement_None,184,8,0.875,0.8125
audio,1,speaker,actor_16_statement_None,184,8,1.0,1.0
audio,1,speaker,actor_17_statement_None,184,8,0.75,0.875
audio,1,speaker,actor_18_statement_None,184,8,1.0,1.0
audio,1,speaker,actor_19_statement_None,184,8,1.0,1.0
audio,1,speaker,actor_20_statement_None,184,8,0.875,1.0
audio,1,speaker,actor_21_statement_None,184,8,1.0,1.0
audio,1,speaker,actor_22_statement_None,184,8,1.0,1.0
audio,1,speaker,actor_23_statement_None,184,8,1.0,1.0
audio,1,speaker,actor_24_statement_None,184,8,1.0,1.0
audio,1,statement,actor_None_statement_01,96,96,0.9166666666666666,0.9943576388888888
audio,1,statement,actor_None_statement_02,96,96,0.8333333333333334,0.9848090277777778
audio,1,joint,actor_01_statement_01,92,4,0.5,1.0
audio,1,joint,actor_01_statement_02,92,4,0.5,1.0
audio,1,joint,actor_02_statement_01,92,4,1.0,1.0
audio,1,joint,actor_02_statement_02,92,4,1.0,1.0
audio,1,joint,actor_03_statement_01,92,4,1.0,1.0
audio,1,joint,actor_03_statement_02,92,4,1.0,1.0
audio,1,joint,actor_04_statement_01,92,4,0.5,0.75
audio,1,joint,actor_04_statement_02,92,4,0.75,1.0
audio,1,joint,actor_05_statement_01,92,4,0.75,1.0
audio,1,joint,actor_05_statement_02,92,4,0.75,1.0
audio,1,joint,actor_06_statement_01,92,4,1.0,1.0
audio,1,joint,actor_06_statement_02,92,4,1.0,1.0
audio,1,joint,actor_07_statement_01,92,4,1.0,1.0
audio,1,joint,actor_07_statement_02,92,4,1.0,1.0
audio,1,joint,actor_08_statement_01,92,4,1.0,1.0
audio,1,joint,actor_08_statement_02,92,4,0.75,1.0
audio,1,joint,actor_09_statement_01,92,4,0.75,1.0
audio,1,joint,actor_09_statement_02,92,4,0.5,1.0
audio,1,joint,actor_10_statement_01,92,4,0.75,1.0
audio,1,joint,actor_10_statement_02,92,4,1.0,1.0
audio,1,joint,actor_11_statement_01,92,4,0.75,1.0
audio,1,joint,actor_11_statement_02,92,4,0.5,1.0
audio,1,joint,actor_12_statement_01,92,4,1.0,1.0
audio,1,joint,actor_12_statement_02,92,4,1.0,1.0
audio,1,joint,actor_13_statement_01,92,4,1.0,1.0
audio,1,joint,actor_13_statement_02,92,4,1.0,1.0
audio,1,joint,actor_14_statement_01,92,4,1.0,1.0
audio,1,joint,actor_14_statement_02,92,4,1.0,1.0
audio,1,joint,actor_15_statement_01,92,4,1.0,1.0
audio,1,joint,actor_15_statement_02,92,4,0.5,0.75
audio,1,joint,actor_16_statement_01,92,4,1.0,1.0
audio,1,joint,actor_16_statement_02,92,4,0.75,1.0
audio,1,joint,actor_17_statement_01,92,4,0.75,0.75
audio,1,joint,actor_17_statement_02,92,4,1.0,1.0
audio,1,joint,actor_18_statement_01,92,4,1.0,1.0
audio,1,joint,actor_18_statement_02,92,4,1.0,1.0
audio,1,joint,actor_19_statement_01,92,4,1.0,1.0
audio,1,joint,actor_19_statement_02,92,4,0.75,1.0
audio,1,joint,actor_20_statement_01,92,4,0.75,1.0
audio,1,joint,actor_20_statement_02,92,4,0.5,1.0
audio,1,joint,actor_21_statement_01,92,4,1.0,1.0
audio,1,joint,actor_21_statement_02,92,4,1.0,1.0
audio,1,joint,actor_22_statement_01,92,4,1.0,1.0
audio,1,joint,actor_22_statement_02,92,4,1.0,1.0
audio,1,joint,actor_23_statement_01,92,4,1.0,1.0
audio,1,joint,actor_23_statement_02,92,4,1.0,1.0
audio,1,joint,actor_24_statement_01,92,4,0.75,1.0
audio,1,joint,actor_24_statement_02,92,4,0.5,1.0
audio,2,speaker,actor_01_statement_None,184,8,0.875,0.9375
audio,2,speaker,actor_02_statement_None,184,8,1.0,1.0
audio,2,speaker,actor_03_statement_None,184,8,1.0,1.0
audio,2,speaker,actor_04_statement_None,184,8,0.625,0.75
audio,2,speaker,actor_05_statement_None,184,8,0.75,0.875
audio,2,speaker,actor_06_statement_None,184,8,1.0,1.0
audio,2,speaker,actor_07_statement_None,184,8,0.875,1.0
audio,2,speaker,actor_08_statement_None,184,8,0.875,1.0
audio,2,speaker,actor_09_statement_None,184,8,0.625,1.0
audio,2,speaker,actor_10_statement_None,184,8,1.0,1.0
audio,2,speaker,actor_11_statement_None,184,8,1.0,1.0
audio,2,speaker,actor_12_statement_None,184,8,0.875,0.875
audio,2,speaker,actor_13_statement_None,184,8,0.875,1.0
audio,2,speaker,actor_14_statement_None,184,8,1.0,1.0
audio,2,speaker,actor_15_statement_None,184,8,0.625,0.8125
audio,2,speaker,actor_16_statement_None,184,8,1.0,1.0
audio,2,speaker,actor_17_statement_None,184,8,0.75,0.875
audio,2,speaker,actor_18_statement_None,184,8,1.0,1.0
audio,2,speaker,actor_19_statement_None,184,8,1.0,1.0
audio,2,speaker,actor_20_statement_None,184,8,0.875,1.0
audio,2,speaker,actor_21_statement_None,184,8,1.0,1.0
audio,2,speaker,actor_22_statement_None,184,8,0.875,1.0
audio,2,speaker,actor_23_statement_None,184,8,1.0,1.0
audio,2,speaker,actor_24_statement_None,184,8,0.875,1.0
audio,2,statement,actor_None_statement_01,96,96,0.9375,0.9774305555555556
audio,2,statement,actor_None_statement_02,96,96,0.84375,0.9665798611111112
audio,2,joint,actor_01_statement_01,92,4,1.0,1.0
audio,2,joint,actor_01_statement_02,92,4,0.75,1.0
audio,2,joint,actor_02_statement_01,92,4,1.0,1.0
audio,2,joint,actor_02_statement_02,92,4,1.0,1.0
audio,2,joint,actor_03_statement_01,92,4,1.0,1.0
audio,2,joint,actor_03_statement_02,92,4,1.0,1.0
audio,2,joint,actor_04_statement_01,92,4,0.75,0.75
audio,2,joint,actor_04_statement_02,92,4,0.5,1.0
audio,2,joint,actor_05_statement_01,92,4,0.75,1.0
audio,2,joint,actor_05_statement_02,92,4,0.75,1.0
audio,2,joint,actor_06_statement_01,92,4,1.0,1.0
audio,2,joint,actor_06_statement_02,92,4,1.0,1.0
audio,2,joint,actor_07_statement_01,92,4,1.0,1.0
audio,2,joint,actor_07_statement_02,92,4,0.75,1.0
audio,2,joint,actor_08_statement_01,92,4,1.0,1.0
audio,2,joint,actor_08_statement_02,92,4,0.75,1.0
audio,2,joint,actor_09_statement_01,92,4,0.75,1.0
audio,2,joint,actor_09_statement_02,92,4,0.5,1.0
audio,2,joint,actor_10_statement_01,92,4,1.0,1.0
audio,2,joint,actor_10_statement_02,92,4,1.0,1.0
audio,2,joint,actor_11_statement_01,92,4,1.0,1.0
audio,2,joint,actor_11_statement_02,92,4,0.5,0.75
audio,2,joint,actor_12_statement_01,92,4,0.75,0.75
audio,2,joint,actor_12_statement_02,92,4,1.0,1.0
audio,2,joint,actor_13_statement_01,92,4,1.0,1.0
audio,2,joint,actor_13_statement_02,92,4,0.75,1.0
audio,2,joint,actor_14_statement_01,92,4,1.0,1.0
audio,2,joint,actor_14_statement_02,92,4,1.0,1.0
audio,2,joint,actor_15_statement_01,92,4,1.0,1.0
audio,2,joint,actor_15_statement_02,92,4,0.5,1.0
audio,2,joint,actor_16_statement_01,92,4,0.75,1.0
audio,2,joint,actor_16_statement_02,92,4,1.0,1.0
audio,2,joint,actor_17_statement_01,92,4,0.5,0.75
audio,2,joint,actor_17_statement_02,92,4,1.0,1.0
audio,2,joint,actor_18_statement_01,92,4,1.0,1.0
audio,2,joint,actor_18_statement_02,92,4,1.0,1.0
audio,2,joint,actor_19_statement_01,92,4,1.0,1.0
audio,2,joint,actor_19_statement_02,92,4,1.0,1.0
audio,2,joint,actor_20_statement_01,92,4,1.0,1.0
audio,2,joint,actor_20_statement_02,92,4,0.75,1.0
audio,2,joint,actor_21_statement_01,92,4,1.0,1.0
audio,2,joint,actor_21_statement_02,92,4,1.0,1.0
audio,2,joint,actor_22_statement_01,92,4,1.0,1.0
audio,2,joint,actor_22_statement_02,92,4,1.0,1.0
audio,2,joint,actor_23_statement_01,92,4,1.0,1.0
audio,2,joint,actor_23_statement_02,92,4,1.0,1.0
audio,2,joint,actor_24_statement_01,92,4,1.0,1.0
audio,2,joint,actor_24_statement_02,92,4,0.5,1.0
audio,3,speaker,actor_01_statement_None,184,8,0.875,0.9375
audio,3,speaker,actor_02_statement_None,184,8,1.0,1.0
audio,3,speaker,actor_03_statement_None,184,8,1.0,1.0
audio,3,speaker,actor_04_statement_None,184,8,0.625,0.8125
audio,3,speaker,actor_05_statement_None,184,8,0.875,0.875
audio,3,speaker,actor_06_statement_None,184,8,1.0,1.0
audio,3,speaker,actor_07_statement_None,184,8,1.0,1.0
audio,3,speaker,actor_08_statement_None,184,8,0.875,0.9375
audio,3,speaker,actor_09_statement_None,184,8,0.625,1.0
audio,3,speaker,actor_10_statement_None,184,8,1.0,1.0
audio,3,speaker,actor_11_statement_None,184,8,0.75,0.875
audio,3,speaker,actor_12_statement_None,184,8,0.875,0.875
audio,3,speaker,actor_13_statement_None,184,8,0.875,1.0
audio,3,speaker,actor_14_statement_None,184,8,1.0,1.0
audio,3,speaker,actor_15_statement_None,184,8,0.875,1.0
audio,3,speaker,actor_16_statement_None,184,8,0.875,1.0
audio,3,speaker,actor_17_statement_None,184,8,0.75,0.875
audio,3,speaker,actor_18_statement_None,184,8,1.0,1.0
audio,3,speaker,actor_19_statement_None,184,8,1.0,1.0
audio,3,speaker,actor_20_statement_None,184,8,0.875,1.0
audio,3,speaker,actor_21_statement_None,184,8,1.0,1.0
audio,3,speaker,actor_22_statement_None,184,8,0.875,1.0
audio,3,speaker,actor_23_statement_None,184,8,1.0,1.0
audio,3,speaker,actor_24_statement_None,184,8,1.0,1.0
audio,3,statement,actor_None_statement_01,96,96,0.9375,0.9722222222222222
audio,3,statement,actor_None_statement_02,96,96,0.8229166666666666,0.9639756944444444
audio,3,joint,actor_01_statement_01,92,4,1.0,1.0
audio,3,joint,actor_01_statement_02,92,4,0.5,1.0
audio,3,joint,actor_02_statement_01,92,4,1.0,1.0
audio,3,joint,actor_02_statement_02,92,4,1.0,1.0
audio,3,joint,actor_03_statement_01,92,4,1.0,1.0
audio,3,joint,actor_03_statement_02,92,4,0.75,1.0
audio,3,joint,actor_04_statement_01,92,4,0.5,0.75
audio,3,joint,actor_04_statement_02,92,4,0.5,1.0
audio,3,joint,actor_05_statement_01,92,4,0.75,0.75
audio,3,joint,actor_05_statement_02,92,4,0.75,1.0
audio,3,joint,actor_06_statement_01,92,4,1.0,1.0
audio,3,joint,actor_06_statement_02,92,4,1.0,1.0
audio,3,joint,actor_07_statement_01,92,4,1.0,1.0
audio,3,joint,actor_07_statement_02,92,4,0.75,1.0
audio,3,joint,actor_08_statement_01,92,4,1.0,1.0
audio,3,joint,actor_08_statement_02,92,4,0.75,1.0
audio,3,joint,actor_09_statement_01,92,4,1.0,1.0
audio,3,joint,actor_09_statement_02,92,4,0.5,1.0
audio,3,joint,actor_10_statement_01,92,4,1.0,1.0
audio,3,joint,actor_10_statement_02,92,4,1.0,1.0
audio,3,joint,actor_11_statement_01,92,4,1.0,1.0
audio,3,joint,actor_11_statement_02,92,4,0.5,0.75
audio,3,joint,actor_12_statement_01,92,4,0.75,0.75
audio,3,joint,actor_12_statement_02,92,4,1.0,1.0
audio,3,joint,actor_13_statement_01,92,4,1.0,1.0
audio,3,joint,actor_13_statement_02,92,4,0.75,1.0
audio,3,joint,actor_14_statement_01,92,4,1.0,1.0
audio,3,joint,actor_14_statement_02,92,4,1.0,1.0
audio,3,joint,actor_15_statement_01,92,4,1.0,1.0
audio,3,joint,actor_15_statement_02,92,4,0.5,1.0
audio,3,joint,actor_16_statement_01,92,4,0.75,0.75
audio,3,joint,actor_16_statement_02,92,4,1.0,1.0
audio,3,joint,actor_17_statement_01,92,4,0.75,0.75
audio,3,joint,actor_17_statement_02,92,4,1.0,1.0
audio,3,joint,actor_18_statement_01,92,4,1.0,1.0
audio,3,joint,actor_18_statement_02,92,4,1.0,1.0
audio,3,joint,actor_19_statement_01,92,4,1.0,1.0
audio,3,joint,actor_19_statement_02,92,4,1.0,1.0
audio,3,joint,actor_20_statement_01,92,4,1.0,1.0
audio,3,joint,actor_20_statement_02,92,4,0.5,1.0
audio,3,joint,actor_21_statement_01,92,4,1.0,1.0
audio,3,joint,actor_21_statement_02,92,4,1.0,1.0
audio,3,joint,actor_22_statement_01,92,4,0.5,1.0
audio,3,joint,actor_22_statement_02,92,4,0.75,1.0
audio,3,joint,actor_23_statement_01,92,4,1.0,1.0
audio,3,joint,actor_23_statement_02,92,4,1.0,1.0
audio,3,joint,actor_24_statement_01,92,4,0.75,1.0
audio,3,joint,actor_24_statement_02,92,4,0.5,1.0
audio,4,speaker,actor_01_statement_None,184,8,0.75,1.0
audio,4,speaker,actor_02_statement_None,184,8,1.0,1.0
audio,4,speaker,actor_03_statement_None,184,8,1.0,1.0
audio,4,speaker,actor_04_statement_None,184,8,0.625,0.8125
audio,4,speaker,actor_05_statement_None,184,8,0.875,0.9375
audio,4,speaker,actor_06_statement_None,184,8,1.0,1.0
audio,4,speaker,actor_07_statement_None,184,8,0.875,1.0
audio,4,speaker,actor_08_statement_None,184,8,0.875,0.9375
audio,4,speaker,actor_09_statement_None,184,8,0.625,1.0
audio,4,speaker,actor_10_statement_None,184,8,0.875,1.0
audio,4,speaker,actor_11_statement_None,184,8,0.75,1.0
audio,4,speaker,actor_12_statement_None,184,8,0.875,1.0
audio,4,speaker,actor_13_statement_None,184,8,0.875,1.0
audio,4,speaker,actor_14_statement_None,184,8,1.0,1.0
audio,4,speaker,actor_15_statement_None,184,8,0.75,0.9375
audio,4,speaker,actor_16_statement_None,184,8,0.875,1.0
audio,4,speaker,actor_17_statement_None,184,8,0.75,0.875
audio,4,speaker,actor_18_statement_None,184,8,1.0,1.0
audio,4,speaker,actor_19_statement_None,184,8,1.0,1.0
audio,4,speaker,actor_20_statement_None,184,8,1.0,1.0
audio,4,speaker,actor_21_statement_None,184,8,1.0,1.0
audio,4,speaker,actor_22_statement_None,184,8,0.875,1.0
audio,4,speaker,actor_23_statement_None,184,8,1.0,1.0
audio,4,speaker,actor_24_statement_None,184,8,1.0,1.0
audio,4,statement,actor_None_statement_01,96,96,0.9166666666666666,0.9739583333333334
audio,4,statement,actor_None_statement_02,96,96,0.8020833333333334,0.9618055555555556
audio,4,joint,actor_01_statement_01,92,4,0.75,1.0
audio,4,joint,actor_01_statement_02,92,4,0.5,1.0
audio,4,joint,actor_02_statement_01,92,4,0.75,1.0
audio,4,joint,actor_02_statement_02,92,4,1.0,1.0
audio,4,joint,actor_03_statement_01,92,4,1.0,1.0
audio,4,joint,actor_03_statement_02,92,4,0.75,1.0
audio,4,joint,actor_04_statement_01,92,4,0.5,0.75
audio,4,joint,actor_04_statement_02,92,4,0.75,1.0
audio,4,joint,actor_05_statement_01,92,4,0.75,0.5
audio,4,joint,actor_05_statement_02,92,4,0.75,1.0
audio,4,joint,actor_06_statement_01,92,4,1.0,1.0
audio,4,joint,actor_06_statement_02,92,4,1.0,1.0
audio,4,joint,actor_07_statement_01,92,4,1.0,1.0
audio,4,joint,actor_07_statement_02,92,4,1.0,1.0
audio,4,joint,actor_08_statement_01,92,4,0.75,1.0
audio,4,joint,actor_08_statement_02,92,4,0.75,1.0
audio,4,joint,actor_09_statement_01,92,4,0.75,1.0
audio,4,joint,actor_09_statement_02,92,4,0.5,1.0
audio,4,joint,actor_10_statement_01,92,4,1.0,1.0
audio,4,joint,actor_10_statement_02,92,4,0.75,1.0
audio,4,joint,actor_11_statement_01,92,4,1.0,1.0
audio,4,joint,actor_11_statement_02,92,4,0.75,0.75
audio,4,joint,actor_12_statement_01,92,4,0.75,0.75
audio,4,joint,actor_12_statement_02,92,4,1.0,1.0
audio,4,joint,actor_13_statement_01,92,4,1.0,1.0
audio,4,joint,actor_13_statement_02,92,4,0.75,1.0
audio,4,joint,actor_14_statement_01,92,4,1.0,1.0
audio,4,joint,actor_14_statement_02,92,4,1.0,1.0
audio,4,joint,actor_15_statement_01,92,4,1.0,1.0
audio,4,joint,actor_15_statement_02,92,4,0.5,1.0
audio,4,joint,actor_16_statement_01,92,4,0.75,0.75
audio,4,joint,actor_16_statement_02,92,4,1.0,1.0
audio,4,joint,actor_17_statement_01,92,4,0.75,0.75
audio,4,joint,actor_17_statement_02,92,4,1.0,1.0
audio,4,joint,actor_18_statement_01,92,4,1.0,1.0
audio,4,joint,actor_18_statement_02,92,4,1.0,1.0
audio,4,joint,actor_19_statement_01,92,4,1.0,1.0
audio,4,joint,actor_19_statement_02,92,4,1.0,1.0
audio,4,joint,actor_20_statement_01,92,4,1.0,1.0
audio,4,joint,actor_20_statement_02,92,4,0.5,1.0
audio,4,joint,actor_21_statement_01,92,4,1.0,1.0
audio,4,joint,actor_21_statement_02,92,4,1.0,1.0
audio,4,joint,actor_22_statement_01,92,4,0.5,1.0
audio,4,joint,actor_22_statement_02,92,4,0.5,1.0
audio,4,joint,actor_23_statement_01,92,4,1.0,1.0
audio,4,joint,actor_23_statement_02,92,4,1.0,1.0
audio,4,joint,actor_24_statement_01,92,4,0.5,1.0
audio,4,joint,actor_24_statement_02,92,4,0.5,1.0
audio,5,speaker,actor_01_statement_None,184,8,0.75,0.9375
audio,5,speaker,actor_02_statement_None,184,8,1.0,1.0
audio,5,speaker,actor_03_statement_None,184,8,1.0,1.0
audio,5,speaker,actor_04_statement_None,184,8,0.625,0.75
audio,5,speaker,actor_05_statement_None,184,8,0.875,0.9375
audio,5,speaker,actor_06_statement_None,184,8,1.0,1.0
audio,5,speaker,actor_07_statement_None,184,8,0.875,1.0
audio,5,speaker,actor_08_statement_None,184,8,0.75,0.875
