sample_id,pair_id,path,actor,statement,repetition,intensity,emotion
pair_0026_sad,pair_0026,audio_speech_actors_01-24/Actor_07/03-01-04-01-02-01-07.wav,07,02,01,01,sad
pair_0027_happy,pair_0027,audio_speech_actors_01-24/Actor_07/03-01-03-01-02-02-07.wav,07,02,02,01,happy
pair_0027_sad,pair_0027,audio_speech_actors_01-24/Actor_07/03-01-04-01-02-02-07.wav,07,02,02,01,sad
pair_0028_happy,pair_0028,audio_speech_actors_01-24/Actor_08/03-01-03-01-01-01-08.wav,08,01,01,01,happy
pair_0028_sad,pair_0028,audio_speech_actors_01-24/Actor_08/03-01-04-01-01-01-08.wav,08,01,01,01,sad
pair_0029_happy,pair_0029,audio_speech_actors_01-24/Actor_08/03-01-03-01-01-02-08.wav,08,01,02,01,happy
pair_0029_sad,pair_0029,audio_speech_actors_01-24/Actor_08/03-01-04-01-01-02-08.wav,08,01,02,01,sad
pair_0030_happy,pair_0030,audio_speech_actors_01-24/Actor_08/03-01-03-01-02-01-08.wav,08,02,01,01,happy
pair_0030_sad,pair_0030,audio_speech_actors_01-24/Actor_08/03-01-04-01-02-01-08.wav,08,02,01,01,sad
pair_0031_happy,pair_0031,audio_speech_actors_01-24/Actor_08/03-01-03-01-02-02-08.wav,08,02,02,01,happy
pair_0031_sad,pair_0031,audio_speech_actors_01-24/Actor_08/03-01-04-01-02-02-08.wav,08,02,02,01,sad
pair_0032_happy,pair_0032,audio_speech_actors_01-24/Actor_09/03-01-03-01-01-01-09.wav,09,01,01,01,happy
pair_0032_sad,pair_0032,audio_speech_actors_01-24/Actor_09/03-01-04-01-01-01-09.wav,09,01,01,01,sad
pair_0033_happy,pair_0033,audio_speech_actors_01-24/Actor_09/03-01-03-01-01-02-09.wav,09,01,02,01,happy
pair_0033_sad,pair_0033,audio_speech_actors_01-24/Actor_09/03-01-04-01-01-02-09.wav,09,01,02,01,sad
pair_0034_happy,pair_0034,audio_speech_actors_01-24/Actor_09/03-01-03-01-02-01-09.wav,09,02,01,01,happy
pair_0034_sad,pair_0034,audio_speech_actors_01-24/Actor_09/03-01-04-01-02-01-09.wav,09,02,01,01,sad
pair_0035_happy,pair_0035,audio_speech_actors_01-24/Actor_09/03-01-03-01-02-02-09.wav,09,02,02,01,happy
pair_0035_sad,pair_0035,audio_speech_actors_01-24/Actor_09/03-01-04-01-02-02-09.wav,09,02,02,01,sad
pair_0036_happy,pair_0036,audio_speech_actors_01-24/Actor_10/03-01-03-01-01-01-10.wav,10,01,01,01,happy
pair_0036_sad,pair_0036,audio_speech_actors_01-24/Actor_10/03-01-04-01-01-01-10.wav,10,01,01,01,sad
pair_0037_happy,pair_0037,audio_speech_actors_01-24/Actor_10/03-01-03-01-01-02-10.wav,10,01,02,01,happy
pair_0037_sad,pair_0037,audio_speech_actors_01-24/Actor_10/03-01-04-01-01-02-10.wav,10,01,02,01,sad
pair_0038_happy,pair_0038,audio_speech_actors_01-24/Actor_10/03-01-03-01-02-01-10.wav,10,02,01,01,happy
pair_0038_sad,pair_0038,audio_speech_actors_01-24/Actor_10/03-01-04-01-02-01-10.wav,10,02,01,01,sad
pair_0039_happy,pair_0039,audio_speech_actors_01-24/Actor_10/03-01-03-01-02-02-10.wav,10,02,02,01,happy
pair_0039_sad,pair_0039,audio_speech_actors_01-24/Actor_10/03-01-04-01-02-02-10.wav,10,02,02,01,sad
pair_0040_happy,pair_0040,audio_speech_actors_01-24/Actor_11/03-01-03-01-01-01-11.wav,11,01,01,01,happy
pair_0040_sad,pair_0040,audio_speech_actors_01-24/Actor_11/03-01-04-01-01-01-11.wav,11,01,01,01,sad
pair_0041_happy,pair_0041,audio_speech_actors_01-24/Actor_11/03-01-03-01-01-02-11.wav,11,01,02,01,happy
pair_0041_sad,pair_0041,audio_speech_actors_01-24/Actor_11/03-01-04-01-01-02-11.wav,11,01,02,01,sad
pair_0042_happy,pair_0042,audio_speech_actors_01-24/Actor_11/03-01-03-01-02-01-11.wav,11,02,01,01,happy
pair_0042_sad,pair_0042,audio_speech_actors_01-24/Actor_11/03-01-04-01-02-01-11.wav,11,02,01,01,sad
pair_0043_happy,pair_0043,audio_speech_actors_01-24/Actor_11/03-01-03-01-02-02-11.wav,11,02,02,01,happy
pair_0043_sad,pair_0043,audio_speech_actors_01-24/Actor_11/03-01-04-01-02-02-11.wav,11,02,02,01,sad
pair_0044_happy,pair_0044,audio_speech_actors_01-24/Actor_12/03-01-03-01-01-01-12.wav,12,01,01,01,happy
pair_0044_sad,pair_0044,audio_speech_actors_01-24/Actor_12/03-01-04-01-01-01-12.wav,12,01,01,01,sad
pair_0045_happy,pair_0045,audio_speech_actors_01-24/Actor_12/03-01-03-01-01-02-12.wav,12,01,02,01,happy
pair_0045_sad,pair_0045,audio_speech_actors_01-24/Actor_12/03-01-04-01-01-02-12.wav,12,01,02,01,sad
pair_0046_happy,pair_0046,audio_speech_actors_01-24/Actor_12/03-01-03-01-02-01-12.wav,12,02,01,01,happy
pair_0046_sad,pair_0046,audio_speech_actors_01-24/Actor_12/03-01-04-01-02-01-12.wav,12,02,01,01,sad
pair_0047_happy,pair_0047,audio_speech_actors_01-24/Actor_12/03-01-03-01-02-02-12.wav,12,02,02,01,happy
pair_0047_sad,pair_0047,audio_speech_actors_01-24/Actor_12/03-01-04-01-02-02-12.wav,12,02,02,01,sad
pair_0048_happy,pair_0048,audio_speech_actors_01-24/Actor_13/03-01-03-01-01-01-13.wav,13,01,01,01,happy
pair_0048_sad,pair_0048,audio_speech_actors_01-24/Actor_13/03-01-04-01-01-01-13.wav,13,01,01,01,sad
pair_0049_happy,pair_0049,audio_speech_actors_01-24/Actor_13/03-01-03-01-01-02-13.wav,13,01,02,01,happy
pair_0049_sad,pair_0049,audio_speech_actors_01-24/Actor_13/03-01-04-01-01-02-13.wav,13,01,02,01,sad
pair_0050_happy,pair_0050,audio_speech_actors_01-24/Actor_13/03-01-03-01-02-01-13.wav,13,02,01,01,happy
pair_0050_sad,pair_0050,audio_speech_actors_01-24/Actor_13/03-01-04-01-02-01-13.wav,13,02,01,01,sad
pair_0051_happy,pair_0051,audio_speech_actors_01-24/Actor_13/03-01-03-01-02-02-13.wav,13,02,02,01,happy
pair_0051_sad,pair_0051,audio_speech_actors_01-24/Actor_13/03-01-04-01-02-02-13.wav,13,02,02,01,sad
pair_0052_happy,pair_0052,audio_speech_actors_01-24/Actor_14/03-01-03-01-01-01-14.wav,14,01,01,01,happy
pair_0052_sad,pair_0052,audio_speech_actors_01-24/Actor_14/03-01-04-01-01-01-14.wav,14,01,01,01,sad
pair_0053_happy,pair_0053,audio_speech_actors_01-24/Actor_14/03-01-03-01-01-02-14.wav,14,01,02,01,happy
pair_0053_sad,pair_0053,audio_speech_actors_01-24/Actor_14/03-01-04-01-01-02-14.wav,14,01,02,01,sad
pair_0054_happy,pair_0054,audio_speech_actors_01-24/Actor_14/03-01-03-01-02-01-14.wav,14,02,01,01,happy
pair_0054_sad,pair_0054,audio_speech_actors_01-24/Actor_14/03-01-04-01-02-01-14.wav,14,02,01,01,sad
pair_0055_happy,pair_0055,audio_speech_actors_01-24/Actor_14/03-01-03-01-02-02-14.wav,14,02,02,01,happy
pair_0055_sad,pair_0055,audio_speech_actors_01-24/Actor_14/03-01-04-01-02-02-14.wav,14,02,02,01,sad
pair_0056_happy,pair_0056,audio_speech_actors_01-24/Actor_15/03-01-03-01-01-01-15.wav,15,01,01,01,happy
pair_0056_sad,pair_0056,audio_speech_actors_01-24/Actor_15/03-01-04-01-01-01-15.wav,15,01,01,01,sad
pair_0057_happy,pair_0057,audio_speech_actors_01-24/Actor_15/03-01-03-01-01-02-15.wav,15,01,02,01,happy
pair_0057_sad,pair_0057,audio_speech_actors_01-24/Actor_15/03-01-04-01-01-02-15.wav,15,01,02,01,sad
pair_0058_happy,pair_0058,audio_speech_actors_01-24/Actor_15/03-01-03-01-02-01-15.wav,15,02,01,01,happy
pair_0058_sad,pair_0058,audio_speech_actors_01-24/Actor_15/03-01-04-01-02-01-15.wav,15,02,01,01,sad
pair_0059_happy,pair_0059,audio_speech_actors_01-24/Actor_15/03-01-03-01-02-02-15.wav,15,02,02,01,happy
pair_0059_sad,pair_0059,audio_speech_actors_01-24/Actor_15/03-01-04-01-02-02-15.wav,15,02,02,01,sad
pair_0060_happy,pair_0060,audio_speech_actors_01-24/Actor_16/03-01-03-01-01-01-16.wav,16,01,01,01,happy
pair_0060_sad,pair_0060,audio_speech_actors_01-24/Actor_16/03-01-04-01-01-01-16.wav,16,01,01,01,sad
pair_0061_happy,pair_0061,audio_speech_actors_01-24/Actor_16/03-01-03-01-01-02-16.wav,16,01,02,01,happy
pair_0061_sad,pair_0061,audio_speech_actors_01-24/Actor_16/03-01-04-01-01-02-16.wav,16,01,02,01,sad
pair_0062_happy,pair_0062,audio_speech_actors_01-24/Actor_16/03-01-03-01-02-01-16.wav,16,02,01,01,happy
pair_0062_sad,pair_0062,audio_speech_actors_01-24/Actor_16/03-01-04-01-02-01-16.wav,16,02,01,01,sad
pair_0063_happy,pair_0063,audio_speech_actors_01-24/Actor_16/03-01-03-01-02-02-16.wav,16,02,02,01,happy
pair_0063_sad,pair_0063,audio_speech_actors_01-24/Actor_16/03-01-04-01-02-02-16.wav,16,02,02,01,sad
pair_0064_happy,pair_0064,audio_speech_actors_01-24/Actor_17/03-01-03-01-01-01-17.wav,17,01,01,01,happy
pair_0064_sad,pair_0064,audio_speech_actors_01-24/Actor_17/03-01-04-01-01-01-17.wav,17,01,01,01,sad
pair_0065_happy,pair_0065,audio_speech_actors_01-24/Actor_17/03-01-03-01-01-02-17.wav,17,01,02,01,happy
pair_0065_sad,pair_0065,audio_speech_actors_01-24/Actor_17/03-01-04-01-01-02-17.wav,17,01,02,01,sad
pair_0066_happy,pair_0066,audio_speech_actors_01-24/Actor_17/03-01-03-01-02-01-17.wav,17,02,01,01,happy
pair_0066_sad,pair_0066,audio_speech_actors_01-24/Actor_17/03-01-04-01-02-01-17.wav,17,02,01,01,sad
pair_0067_happy,pair_0067,audio_speech_actors_01-24/Actor_17/03-01-03-01-02-02-17.wav,17,02,02,01,happy
pair_0067_sad,pair_0067,audio_speech_actors_01-24/Actor_17/03-01-04-01-02-02-17.wav,17,02,02,01,sad
pair_0068_happy,pair_0068,audio_speech_actors_01-24/Actor_18/03-01-03-01-01-01-18.wav,18,01,01,01,happy
pair_0068_sad,pair_0068,audio_speech_actors_01-24/Actor_18/03-01-04-01-01-01-18.wav,18,01,01,01,sad
pair_0069_happy,pair_0069,audio_speech_actors_01-24/Actor_18/03-01-03-01-01-02-18.wav,18,01,02,01,happy
pair_0069_sad,pair_0069,audio_speech_actors_01-24/Actor_18/03-01-04-01-01-02-18.wav,18,01,02,01,sad
pair_0070_happy,pair_0070,audio_speech_actors_01-24/Actor_18/03-01-03-01-02-01-18.wav,18,02,01,01,happy
pair_0070_sad,pair_0070,audio_speech_actors_01-24/Actor_18/03-01-04-01-02-01-18.wav,18,02,01,01,sad
pair_0071_happy,pair_0071,audio_speech_actors_01-24/Actor_18/03-01-03-01-02-02-18.wav,18,02,02,01,happy
pair_0071_sad,pair_0071,audio_speech_actors_01-24/Actor_18/03-01-04-01-02-02-18.wav,18,02,02,01,sad
pair_0072_happy,pair_0072,audio_speech_actors_01-24/Actor_19/03-01-03-01-01-01-19.wav,19,01,01,01,happy
pair_0072_sad,pair_0072,audio_speech_actors_01-24/Actor_19/03-01-04-01-01-01-19.wav,19,01,01,01,sad
pair_0073_happy,pair_0073,audio_speech_actors_01-24/Actor_19/03-01-03-01-01-02-19.wav,19,01,02,01,happy
pair_0073_sad,pair_0073,audio_speech_actors_01-24/Actor_19/03-01-04-01-01-02-19.wav,19,01,02,01,sad
pair_0074_happy,pair_0074,audio_speech_actors_01-24/Actor_19/03-01-03-01-02-01-19.wav,19,02,01,01,happy
pair_0074_sad,pair_0074,audio_speech_actors_01-24/Actor_19/03-01-04-01-02-01-19.wav,19,02,01,01,sad
pair_0075_happy,pair_0075,audio_speech_actors_01-24/Actor_19/03-01-03-01-02-02-19.wav,19,02,02,01,happy
pair_0075_sad,pair_0075,audio_speech_actors_01-24/Actor_19/03-01-04-01-02-02-19.wav,19,02,02,01,sad
pair_0076_happy,pair_0076,audio_speech_actors_01-24/Actor_20/03-01-03-01-01-01-20.wav,20,01,01,01,happy
pair_0076_sad,pair_0076,audio_speech_actors_01-24/Actor_20/03-01-04-01-01-01-20.wav,20,01,01,01,sad
pair_0077_happy,pair_0077,audio_speech_actors_01-24/Actor_20/03-01-03-01-01-02-20.wav,20,01,02,01,happy
pair_0077_sad,pair_0077,audio_speech_actors_01-24/Actor_20/03-01-04-01-01-02-20.wav,20,01,02,01,sad
pair_0078_happy,pair_0078,audio_speech_actors_01-24/Actor_20/03-01-03-01-02-01-20.wav,20,02,01,01,happy
pair_0078_sad,pair_0078,audio_speech_actors_01-24/Actor_20/03-01-04-01-02-01-20.wav,20,02,01,01,sad
pair_0079_happy,pair_0079,audio_speech_actors_01-24/Actor_20/03-01-03-01-02-02-20.wav,20,02,02,01,happy
pair_0079_sad,pair_0079,audio_speech_actors_01-24/Actor_20/03-01-04-01-02-02-20.wav,20,02,02,01,sad
pair_0080_happy,pair_0080,audio_speech_actors_01-24/Actor_21/03-01-03-01-01-01-21.wav,21,01,01,01,happy
pair_0080_sad,pair_0080,audio_speech_actors_01-24/Actor_21/03-01-04-01-01-01-21.wav,21,01,01,01,sad
pair_0081_happy,pair_0081,audio_speech_actors_01-24/Actor_21/03-01-03-01-01-02-21.wav,21,01,02,01,happy
pair_0081_sad,pair_0081,audio_speech_actors_01-24/Actor_21/03-01-04-01-01-02-21.wav,21,01,02,01,sad
pair_0082_happy,pair_0082,audio_speech_actors_01-24/Actor_21/03-01-03-01-02-01-21.wav,21,02,01,01,happy
pair_0082_sad,pair_0082,audio_speech_actors_01-24/Actor_21/03-01-04-01-02-01-21.wav,21,02,01,01,sad
pair_0083_happy,pair_0083,audio_speech_actors_01-24/Actor_21/03-01-03-01-02-02-21.wav,21,02,02,01,happy
pair_0083_sad,pair_0083,audio_speech_actors_01-24/Actor_21/03-01-04-01-02-02-21.wav,21,02,02,01,sad
pair_0084_happy,pair_0084,audio_speech_actors_01-24/Actor_22/03-01-03-01-01-01-22.wav,22,01,01,01,happy
pair_0084_sad,pair_0084,audio_speech_actors_01-24/Actor_22/03-01-04-01-01-01-22.wav,22,01,01,01,sad
pair_0085_happy,pair_0085,audio_speech_actors_01-24/Actor_22/03-01-03-01-01-02-22.wav,22,01,02,01,happy
pair_0085_sad,pair_0085,audio_speech_actors_01-24/Actor_22/03-01-04-01-01-02-22.wav,22,01,02,01,sad
pair_0086_happy,pair_0086,audio_speech_actors_01-24/Actor_22/03-01-03-01-02-01-22.wav,22,02,01,01,happy
pair_0086_sad,pair_0086,audio_speech_actors_01-24/Actor_22/03-01-04-01-02-01-22.wav,22,02,01,01,sad
pair_0087_happy,pair_0087,audio_speech_actors_01-24/Actor_22/03-01-03-01-02-02-22.wav,22,02,02,01,happy
pair_0087_sad,pair_0087,audio_speech_actors_01-24/Actor_22/03-01-04-01-02-02-22.wav,22,02,02,01,sad
pair_0088_happy,pair_0088,audio_speech_actors_01-24/Actor_23/03-01-03-01-01-01-23.wav,23,01,01,01,happy
pair_0088_sad,pair_0088,audio_speech_actors_01-24/Actor_23/03-01-04-01-01-01-23.wav,23,01,01,01,sad
pair_0089_happy,pair_0089,audio_speech_actors_01-24/Actor_23/03-01-03-01-01-02-23.wav,23,01,02,01,happy
pair_0089_sad,pair_0089,audio_speech_actors_01-24/Actor_23/03-01-04-01-01-02-23.wav,23,01,02,01,sad
pair_0090_happy,pair_0090,audio_speech_actors_01-24/Actor_23/03-01-03-01-02-01-23.wav,23,02,01,01,happy
pair_0090_sad,pair_0090,audio_speech_actors_01-24/Actor_23/03-01-04-01-02-01-23.wav,23,02,01,01,sad
pair_0091_happy,pair_0091,audio_speech_actors_01-24/Actor_23/03-01-03-01-02-02-23.wav,23,02,02,01,happy
pair_0091_sad,pair_0091,audio_speech_actors_01-24/Actor_23/03-01-04-01-02-02-23.wav,23,02,02,01,sad
pair_0092_happy,pair_0092,audio_speech_actors_01-24/Actor_24/03-01-03-01-01-01-24.wav,24,01,01,01,happy
pair_0092_sad,pair_0092,audio_speech_actors_01-24/Actor_24/03-01-04-01-01-01-24.wav,24,01,01,01,sad
pair_0093_happy,pair_0093,audio_speech_actors_01-24/Actor_24/03-01-03-01-01-02-24.wav,24,01,02,01,happy
pair_0093_sad,pair_0093,audio_speech_actors_01-24/Actor_24/03-01-04-01-01-02-24.wav,24,01,02,01,sad
pair_0094_happy,pair_0094,audio_speech_actors_01-24/Actor_24/03-01-03-01-02-01-24.wav,24,02,01,01,happy
pair_0094_sad,pair_0094,audio_speech_actors_01-24/Actor_24/03-01-04-01-02-01-24.wav,24,02,01,01,sad
pair_0095_happy,pair_0095,audio_speech_actors_01-24/Actor_24/03-01-03-01-02-02-24.wav,24,02,02,01,happy
pair_0095_sad,pair_0095,audio_speech_actors_01-24/Actor_24/03-01-04-01-02-02-24.wav,24,02,02,01,sad
