sample_id,pair_id,path,actor,statement,repetition,intensity,emotion,representation_index,error
pair_0012_sad,pair_0012,audio_speech_actors_01-24/Actor_04/03-01-04-01-01-01-04.wav,04,01,01,01,sad,25,
pair_0013_happy,pair_0013,audio_speech_actors_01-24/Actor_04/03-01-03-01-01-02-04.wav,04,01,02,01,happy,26,
pair_0013_sad,pair_0013,audio_speech_actors_01-24/Actor_04/03-01-04-01-01-02-04.wav,04,01,02,01,sad,27,
pair_0014_happy,pair_0014,audio_speech_actors_01-24/Actor_04/03-01-03-01-02-01-04.wav,04,02,01,01,happy,28,
pair_0014_sad,pair_0014,audio_speech_actors_01-24/Actor_04/03-01-04-01-02-01-04.wav,04,02,01,01,sad,29,
pair_0015_happy,pair_0015,audio_speech_actors_01-24/Actor_04/03-01-03-01-02-02-04.wav,04,02,02,01,happy,30,
pair_0015_sad,pair_0015,audio_speech_actors_01-24/Actor_04/03-01-04-01-02-02-04.wav,04,02,02,01,sad,31,
pair_0016_happy,pair_0016,audio_speech_actors_01-24/Actor_05/03-01-03-01-01-01-05.wav,05,01,01,01,happy,32,
pair_0016_sad,pair_0016,audio_speech_actors_01-24/Actor_05/03-01-04-01-01-01-05.wav,05,01,01,01,sad,33,
pair_0017_happy,pair_0017,audio_speech_actors_01-24/Actor_05/03-01-03-01-01-02-05.wav,05,01,02,01,happy,34,
pair_0017_sad,pair_0017,audio_speech_actors_01-24/Actor_05/03-01-04-01-01-02-05.wav,05,01,02,01,sad,35,
pair_0018_happy,pair_0018,audio_speech_actors_01-24/Actor_05/03-01-03-01-02-01-05.wav,05,02,01,01,happy,36,
pair_0018_sad,pair_0018,audio_speech_actors_01-24/Actor_05/03-01-04-01-02-01-05.wav,05,02,01,01,sad,37,
pair_0019_happy,pair_0019,audio_speech_actors_01-24/Actor_05/03-01-03-01-02-02-05.wav,05,02,02,01,happy,38,
pair_0019_sad,pair_0019,audio_speech_actors_01-24/Actor_05/03-01-04-01-02-02-05.wav,05,02,02,01,sad,39,
pair_0020_happy,pair_0020,audio_speech_actors_01-24/Actor_06/03-01-03-01-01-01-06.wav,06,01,01,01,happy,40,
pair_0020_sad,pair_0020,audio_speech_actors_01-24/Actor_06/03-01-04-01-01-01-06.wav,06,01,01,01,sad,41,
pair_0021_happy,pair_0021,audio_speech_actors_01-24/Actor_06/03-01-03-01-01-02-06.wav,06,01,02,01,happy,42,
pair_0021_sad,pair_0021,audio_speech_actors_01-24/Actor_06/03-01-04-01-01-02-06.wav,06,01,02,01,sad,43,
pair_0022_happy,pair_0022,audio_speech_actors_01-24/Actor_06/03-01-03-01-02-01-06.wav,06,02,01,01,happy,44,
pair_0022_sad,pair_0022,audio_speech_actors_01-24/Actor_06/03-01-04-01-02-01-06.wav,06,02,01,01,sad,45,
pair_0023_happy,pair_0023,audio_speech_actors_01-24/Actor_06/03-01-03-01-02-02-06.wav,06,02,02,01,happy,46,
pair_0023_sad,pair_0023,audio_speech_actors_01-24/Actor_06/03-01-04-01-02-02-06.wav,06,02,02,01,sad,47,
pair_0024_happy,pair_0024,audio_speech_actors_01-24/Actor_07/03-01-03-01-01-01-07.wav,07,01,01,01,happy,48,
pair_0024_sad,pair_0024,audio_speech_actors_01-24/Actor_07/03-01-04-01-01-01-07.wav,07,01,01,01,sad,49,
pair_0025_happy,pair_0025,audio_speech_actors_01-24/Actor_07/03-01-03-01-01-02-07.wav,07,01,02,01,happy,50,
pair_0025_sad,pair_0025,audio_speech_actors_01-24/Actor_07/03-01-04-01-01-02-07.wav,07,01,02,01,sad,51,
pair_0026_happy,pair_0026,audio_speech_actors_01-24/Actor_07/03-01-03-01-02-01-07.wav,07,02,01,01,happy,52,
pair_0026_sad,pair_0026,audio_speech_actors_01-24/Actor_07/03-01-04-01-02-01-07.wav,07,02,01,01,sad,53,
pair_0027_happy,pair_0027,audio_speech_actors_01-24/Actor_07/03-01-03-01-02-02-07.wav,07,02,02,01,happy,54,
pair_0027_sad,pair_0027,audio_speech_actors_01-24/Actor_07/03-01-04-01-02-02-07.wav,07,02,02,01,sad,55,
pair_0028_happy,pair_0028,audio_speech_actors_01-24/Actor_08/03-01-03-01-01-01-08.wav,08,01,01,01,happy,56,
pair_0028_sad,pair_0028,audio_speech_actors_01-24/Actor_08/03-01-04-01-01-01-08.wav,08,01,01,01,sad,57,
pair_0029_happy,pair_0029,audio_speech_actors_01-24/Actor_08/03-01-03-01-01-02-08.wav,08,01,02,01,happy,58,
pair_0029_sad,pair_0029,audio_speech_actors_01-24/Actor_08/03-01-04-01-01-02-08.wav,08,01,02,01,sad,59,
pair_0030_happy,pair_0030,audio_speech_actors_01-24/Actor_08/03-01-03-01-02-01-08.wav,08,02,01,01,happy,60,
pair_0030_sad,pair_0030,audio_speech_actors_01-24/Actor_08/03-01-04-01-02-01-08.wav,08,02,01,01,sad,61,
pair_0031_happy,pair_0031,audio_speech_actors_01-24/Actor_08/03-01-03-01-02-02-08.wav,08,02,02,01,happy,62,
pair_0031_sad,pair_0031,audio_speech_actors_01-24/Actor_08/03-01-04-01-02-02-08.wav,08,02,02,01,sad,63,
pair_0032_happy,pair_0032,audio_speech_actors_01-24/Actor_09/03-01-03-01-01-01-09.wav,09,01,01,01,happy,64,
pair_0032_sad,pair_0032,audio_speech_actors_01-24/Actor_09/03-01-04-01-01-01-09.wav,09,01,01,01,sad,65,
pair_0033_happy,pair_0033,audio_speech_actors_01-24/Actor_09/03-01-03-01-01-02-09.wav,09,01,02,01,happy,66,
pair_0033_sad,pair_0033,audio_speech_actors_01-24/Actor_09/03-01-04-01-01-02-09.wav,09,01,02,01,sad,67,
pair_0034_happy,pair_0034,audio_speech_actors_01-24/Actor_09/03-01-03-01-02-01-09.wav,09,02,01,01,happy,68,
pair_0034_sad,pair_0034,audio_speech_actors_01-24/Actor_09/03-01-04-01-02-01-09.wav,09,02,01,01,sad,69,
pair_0035_happy,pair_0035,audio_speech_actors_01-24/Actor_09/03-01-03-01-02-02-09.wav,09,02,02,01,happy,70,
pair_0035_sad,pair_0035,audio_speech_actors_01-24/Actor_09/03-01-04-01-02-02-09.wav,09,02,02,01,sad,71,
pair_0036_happy,pair_0036,audio_speech_actors_01-24/Actor_10/03-01-03-01-01-01-10.wav,10,01,01,01,happy,72,
pair_0036_sad,pair_0036,audio_speech_actors_01-24/Actor_10/03-01-04-01-01-01-10.wav,10,01,01,01,sad,73,
pair_0037_happy,pair_0037,audio_speech_actors_01-24/Actor_10/03-01-03-01-01-02-10.wav,10,01,02,01,happy,74,
pair_0037_sad,pair_0037,audio_speech_actors_01-24/Actor_10/03-01-04-01-01-02-10.wav,10,01,02,01,sad,75,
pair_0038_happy,pair_0038,audio_speech_actors_01-24/Actor_10/03-01-03-01-02-01-10.wav,10,02,01,01,happy,76,
pair_0038_sad,pair_0038,audio_speech_actors_01-24/Actor_10/03-01-04-01-02-01-10.wav,10,02,01,01,sad,77,
pair_0039_happy,pair_0039,audio_speech_actors_01-24/Actor_10/03-01-03-01-02-02-10.wav,10,02,02,01,happy,78,
pair_0039_sad,pair_0039,audio_speech_actors_01-24/Actor_10/03-01-04-01-02-02-10.wav,10,02,02,01,sad,79,
pair_0040_happy,pair_0040,audio_speech_actors_01-24/Actor_11/03-01-03-01-01-01-11.wav,11,01,01,01,happy,80,
pair_0040_sad,pair_0040,audio_speech_actors_01-24/Actor_11/03-01-04-01-01-01-11.wav,11,01,01,01,sad,81,
pair_0041_happy,pair_0041,audio_speech_actors_01-24/Actor_11/03-01-03-01-01-02-11.wav,11,01,02,01,happy,82,
pair_0041_sad,pair_0041,audio_speech_actors_01-24/Actor_11/03-01-04-01-01-02-11.wav,11,01,02,01,sad,83,
pair_0042_happy,pair_0042,audio_speech_actors_01-24/Actor_11/03-01-03-01-02-01-11.wav,11,02,01,01,happy,84,
pair_0042_sad,pair_0042,audio_speech_actors_01-24/Actor_11/03-01-04-01-02-01-11.wav,11,02,01,01,sad,85,
pair_0043_happy,pair_0043,audio_speech_actors_01-24/Actor_11/03-01-03-01-02-02-11.wav,11,02,02,01,happy,86,
pair_0043_sad,pair_0043,audio_speech_actors_01-24/Actor_11/03-01-04-01-02-02-11.wav,11,02,02,01,sad,87,
pair_0044_happy,pair_0044,audio_speech_actors_01-24/Actor_12/03-01-03-01-01-01-12.wav,12,01,01,01,happy,88,
pair_0044_sad,pair_0044,audio_speech_actors_01-24/Actor_12/03-01-04-01-01-01-12.wav,12,01,01,01,sad,89,
pair_0045_happy,pair_0045,audio_speech_actors_01-24/Actor_12/03-01-03-01-01-02-12.wav,12,01,02,01,happy,90,
pair_0045_sad,pair_0045,audio_speech_actors_01-24/Actor_12/03-01-04-01-01-02-12.wav,12,01,02,01,sad,91,
pair_0046_happy,pair_0046,audio_speech_actors_01-24/Actor_12/03-01-03-01-02-01-12.wav,12,02,01,01,happy,92,
pair_0046_sad,pair_0046,audio_speech_actors_01-24/Actor_12/03-01-04-01-02-01-12.wav,12,02,01,01,sad,93,
pair_0047_happy,pair_0047,audio_speech_actors_01-24/Actor_12/03-01-03-01-02-02-12.wav,12,02,02,01,happy,94,
pair_0047_sad,pair_0047,audio_speech_actors_01-24/Actor_12/03-01-04-01-02-02-12.wav,12,02,02,01,sad,95,
pair_0048_happy,pair_0048,audio_speech_actors_01-24/Actor_13/03-01-03-01-01-01-13.wav,13,01,01,01,happy,96,
pair_0048_sad,pair_0048,audio_speech_actors_01-24/Actor_13/03-01-04-01-01-01-13.wav,13,01,01,01,sad,97,
pair_0049_happy,pair_0049,audio_speech_actors_01-24/Actor_13/03-01-03-01-01-02-13.wav,13,01,02,01,happy,98,
pair_0049_sad,pair_0049,audio_speech_actors_01-24/Actor_13/03-01-04-01-01-02-13.wav,13,01,02,01,sad,99,
pair_0050_happy,pair_0050,audio_speech_actors_01-24/Actor_13/03-01-03-01-02-01-13.wav,13,02,01,01,happy,100,
pair_0050_sad,pair_0050,audio_speech_actors_01-24/Actor_13/03-01-04-01-02-01-13.wav,13,02,01,01,sad,101,
pair_0051_happy,pair_0051,audio_speech_actors_01-24/Actor_13/03-01-03-01-02-02-13.wav,13,02,02,01,happy,102,
pair_0051_sad,pair_0051,audio_speech_actors_01-24/Actor_13/03-01-04-01-02-02-13.wav,13,02,02,01,sad,103,
pair_0052_happy,pair_0052,audio_speech_actors_01-24/Actor_14/03-01-03-01-01-01-14.wav,14,01,01,01,happy,104,
pair_0052_sad,pair_0052,audio_speech_actors_01-24/Actor_14/03-01-04-01-01-01-14.wav,14,01,01,01,sad,105,
pair_0053_happy,pair_0053,audio_speech_actors_01-24/Actor_14/03-01-03-01-01-02-14.wav,14,01,02,01,happy,106,
pair_0053_sad,pair_0053,audio_speech_actors_01-24/Actor_14/03-01-04-01-01-02-14.wav,14,01,02,01,sad,107,
pair_0054_happy,pair_0054,audio_speech_actors_01-24/Actor_14/03-01-03-01-02-01-14.wav,14,02,01,01,happy,108,
pair_0054_sad,pair_0054,audio_speech_actors_01-24/Actor_14/03-01-04-01-02-01-14.wav,14,02,01,01,sad,109,
pair_0055_happy,pair_0055,audio_speech_actors_01-24/Actor_14/03-01-03-01-02-02-14.wav,14,02,02,01,happy,110,
pair_0055_sad,pair_0055,audio_speech_actors_01-24/Actor_14/03-01-04-01-02-02-14.wav,14,02,02,01,sad,111,
pair_0056_happy,pair_0056,audio_speech_actors_01-24/Actor_15/03-01-03-01-01-01-15.wav,15,01,01,01,happy,112,
pair_0056_sad,pair_0056,audio_speech_actors_01-24/Actor_15/03-01-04-01-01-01-15.wav,15,01,01,01,sad,113,
pair_0057_happy,pair_0057,audio_speech_actors_01-24/Actor_15/03-01-03-01-01-02-15.wav,15,01,02,01,happy,114,
pair_0057_sad,pair_0057,audio_speech_actors_01-24/Actor_15/03-01-04-01-01-02-15.wav,15,01,02,01,sad,115,
pair_0058_happy,pair_0058,audio_speech_actors_01-24/Actor_15/03-01-03-01-02-01-15.wav,15,02,01,01,happy,116,
pair_0058_sad,pair_0058,audio_speech_actors_01-24/Actor_15/03-01-04-01-02-01-15.wav,15,02,01,01,sad,117,
pair_0059_happy,pair_0059,audio_speech_actors_01-24/Actor_15/03-01-03-01-02-02-15.wav,15,02,02,01,happy,118,
pair_0059_sad,pair_0059,audio_speech_actors_01-24/Actor_15/03-01-04-01-02-02-15.wav,15,02,02,01,sad,119,
pair_0060_happy,pair_0060,audio_speech_actors_01-24/Actor_16/03-01-03-01-01-01-16.wav,16,01,01,01,happy,120,
pair_0060_sad,pair_0060,audio_speech_actors_01-24/Actor_16/03-01-04-01-01-01-16.wav,16,01,01,01,sad,121,
pair_0061_happy,pair_0061,audio_speech_actors_01-24/Actor_16/03-01-03-01-01-02-16.wav,16,01,02,01,happy,122,
pair_0061_sad,pair_0061,audio_speech_actors_01-24/Actor_16/03-01-04-01-01-02-16.wav,16,01,02,01,sad,123,
pair_0062_happy,pair_0062,audio_speech_actors_01-24/Actor_16/03-01-03-01-02-01-16.wav,16,02,01,01,happy,124,
pair_0062_sad,pair_0062,audio_speech_actors_01-24/Actor_16/03-01-04-01-02-01-16.wav,16,02,01,01,sad,125,
pair_0063_happy,pair_0063,audio_speech_actors_01-24/Actor_16/03-01-03-01-02-02-16.wav,16,02,02,01,happy,126,
pair_0063_sad,pair_0063,audio_speech_actors_01-24/Actor_16/03-01-04-01-02-02-16.wav,16,02,02,01,sad,127,
pair_0064_happy,pair_0064,audio_speech_actors_01-24/Actor_17/03-01-03-01-01-01-17.wav,17,01,01,01,happy,128,
pair_0064_sad,pair_0064,audio_speech_actors_01-24/Actor_17/03-01-04-01-01-01-17.wav,17,01,01,01,sad,129,
pair_0065_happy,pair_0065,audio_speech_actors_01-24/Actor_17/03-01-03-01-01-02-17.wav,17,01,02,01,happy,130,
pair_0065_sad,pair_0065,audio_speech_actors_01-24/Actor_17/03-01-04-01-01-02-17.wav,17,01,02,01,sad,131,
pair_0066_happy,pair_0066,audio_speech_actors_01-24/Actor_17/03-01-03-01-02-01-17.wav,17,02,01,01,happy,132,
pair_0066_sad,pair_0066,audio_speech_actors_01-24/Actor_17/03-01-04-01-02-01-17.wav,17,02,01,01,sad,133,
pair_0067_happy,pair_0067,audio_speech_actors_01-24/Actor_17/03-01-03-01-02-02-17.wav,17,02,02,01,happy,134,
pair_0067_sad,pair_0067,audio_speech_actors_01-24/Actor_17/03-01-04-01-02-02-17.wav,17,02,02,01,sad,135,
pair_0068_happy,pair_0068,audio_speech_actors_01-24/Actor_18/03-01-03-01-01-01-18.wav,18,01,01,01,happy,136,
pair_0068_sad,pair_0068,audio_speech_actors_01-24/Actor_18/03-01-04-01-01-01-18.wav,18,01,01,01,sad,137,
pair_0069_happy,pair_0069,audio_speech_actors_01-24/Actor_18/03-01-03-01-01-02-18.wav,18,01,02,01,happy,138,
pair_0069_sad,pair_0069,audio_speech_actors_01-24/Actor_18/03-01-04-01-01-02-18.wav,18,01,02,01,sad,139,
pair_0070_happy,pair_0070,audio_speech_actors_01-24/Actor_18/03-01-03-01-02-01-18.wav,18,02,01,01,happy,140,
pair_0070_sad,pair_0070,audio_speech_actors_01-24/Actor_18/03-01-04-01-02-01-18.wav,18,02,01,01,sad,141,
pair_0071_happy,pair_0071,audio_speech_actors_01-24/Actor_18/03-01-03-01-02-02-18.wav,18,02,02,01,happy,142,
pair_0071_sad,pair_0071,audio_speech_actors_01-24/Actor_18/03-01-04-01-02-02-18.wav,18,02,02,01,sad,143,
pair_0072_happy,pair_0072,audio_speech_actors_01-24/Actor_19/03-01-03-01-01-01-19.wav,19,01,01,01,happy,144,
pair_0072_sad,pair_0072,audio_speech_actors_01-24/Actor_19/03-01-04-01-01-01-19.wav,19,01,01,01,sad,145,
pair_0073_happy,pair_0073,audio_speech_actors_01-24/Actor_19/03-01-03-01-01-02-19.wav,19,01,02,01,happy,146,
pair_0073_sad,pair_0073,audio_speech_actors_01-24/Actor_19/03-01-04-01-01-02-19.wav,19,01,02,01,sad,147,
pair_0074_happy,pair_0074,audio_speech_actors_01-24/Actor_19/03-01-03-01-02-01-19.wav,19,02,01,01,happy,148,
pair_0074_sad,pair_0074,audio_speech_actors_01-24/Actor_19/03-01-04-01-02-01-19.wav,19,02,01,01,sad,149,
pair_0075_happy,pair_0075,audio_speech_actors_01-24/Actor_19/03-01-03-01-02-02-19.wav,19,02,02,01,happy,150,
pair_0075_sad,pair_0075,audio_speech_actors_01-24/Actor_19/03-01-04-01-02-02-19.wav,19,02,02,01,sad,151,
pair_0076_happy,pair_0076,audio_speech_actors_01-24/Actor_20/03-01-03-01-01-01-20.wav,20,01,01,01,happy,152,
pair_0076_sad,pair_0076,audio_speech_actors_01-24/Actor_20/03-01-04-01-01-01-20.wav,20,01,01,01,sad,153,
pair_0077_happy,pair_0077,audio_speech_actors_01-24/Actor_20/03-01-03-01-01-02-20.wav,20,01,02,01,happy,154,
pair_0077_sad,pair_0077,audio_speech_actors_01-24/Actor_20/03-01-04-01-01-02-20.wav,20,01,02,01,sad,155,
pair_0078_happy,pair_0078,audio_speech_actors_01-24/Actor_20/03-01-03-01-02-01-20.wav,20,02,01,01,happy,156,
pair_0078_sad,pair_0078,audio_speech_actors_01-24/Actor_20/03-01-04-01-02-01-20.wav,20,02,01,01,sad,157,
pair_0079_happy,pair_0079,audio_speech_actors_01-24/Actor_20/03-01-03-01-02-02-20.wav,20,02,02,01,happy,158,
pair_0079_sad,pair_0079,audio_speech_actors_01-24/Actor_20/03-01-04-01-02-02-20.wav,20,02,02,01,sad,159,
pair_0080_happy,pair_0080,audio_speech_actors_01-24/Actor_21/03-01-03-01-01-01-21.wav,21,01,01,01,happy,160,
pair_0080_sad,pair_0080,audio_speech_actors_01-24/Actor_21/03-01-04-01-01-01-21.wav,21,01,01,01,sad,161,
pair_0081_happy,pair_0081,audio_speech_actors_01-24/Actor_21/03-01-03-01-01-02-21.wav,21,01,02,01,happy,162,
pair_0081_sad,pair_0081,audio_speech_actors_01-24/Actor_21/03-01-04-01-01-02-21.wav,21,01,02,01,sad,163,
pair_0082_happy,pair_0082,audio_speech_actors_01-24/Actor_21/03-01-03-01-02-01-21.wav,21,02,01,01,happy,164,
pair_0082_sad,pair_0082,audio_speech_actors_01-24/Actor_21/03-01-04-01-02-01-21.wav,21,02,01,01,sad,165,
pair_0083_happy,pair_0083,audio_speech_actors_01-24/Actor_21/03-01-03-01-02-02-21.wav,21,02,02,01,happy,166,
pair_0083_sad,pair_0083,audio_speech_actors_01-24/Actor_21/03-01-04-01-02-02-21.wav,21,02,02,01,sad,167,
pair_0084_happy,pair_0084,audio_speech_actors_01-24/Actor_22/03-01-03-01-01-01-22.wav,22,01,01,01,happy,168,
pair_0084_sad,pair_0084,audio_speech_actors_01-24/Actor_22/03-01-04-01-01-01-22.wav,22,01,01,01,sad,169,
pair_0085_happy,pair_0085,audio_speech_actors_01-24/Actor_22/03-01-03-01-01-02-22.wav,22,01,02,01,happy,170,
pair_0085_sad,pair_0085,audio_speech_actors_01-24/Actor_22/03-01-04-01-01-02-22.wav,22,01,02,01,sad,171,
pair_0086_happy,pair_0086,audio_speech_actors_01-24/Actor_22/03-01-03-01-02-01-22.wav,22,02,01,01,happy,172,
pair_0086_sad,pair_0086,audio_speech_actors_01-24/Actor_22/03-01-04-01-02-01-22.wav,22,02,01,01,sad,173,
pair_0087_happy,pair_0087,audio_speech_actors_01-24/Actor_22/03-01-03-01-02-02-22.wav,22,02,02,01,happy,174,
pair_0087_sad,pair_0087,audio_speech_actors_01-24/Actor_22/03-01-04-01-02-02-22.wav,22,02,02,01,sad,175,
pair_0088_happy,pair_0088,audio_speech_actors_01-24/Actor_23/03-01-03-01-01-01-23.wav,23,01,01,01,happy,176,
pair_0088_sad,pair_0088,audio_speech_actors_01-24/Actor_23/03-01-04-01-01-01-23.wav,23,01,01,01,sad,177,
pair_0089_happy,pair_0089,audio_speech_actors_01-24/Actor_23/03-01-03-01-01-02-23.wav,23,01,02,01,happy,178,
pair_0089_sad,pair_0089,audio_speech_actors_01-24/Actor_23/03-01-04-01-01-02-23.wav,23,01,02,01,sad,179,
pair_0090_happy,pair_0090,audio_speech_actors_01-24/Actor_23/03-01-03-01-02-01-23.wav,23,02,01,01,happy,180,
pair_0090_sad,pair_0090,audio_speech_actors_01-24/Actor_23/03-01-04-01-02-01-23.wav,23,02,01,01,sad,181,
pair_0091_happy,pair_0091,audio_speech_actors_01-24/Actor_23/03-01-03-01-02-02-23.wav,23,02,02,01,happy,182,
pair_0091_sad,pair_0091,audio_speech_actors_01-24/Actor_23/03-01-04-01-02-02-23.wav,23,02,02,01,sad,183,
pair_0092_happy,pair_0092,audio_speech_actors_01-24/Actor_24/03-01-03-01-01-01-24.wav,24,01,01,01,happy,184,
pair_0092_sad,pair_0092,audio_speech_actors_01-24/Actor_24/03-01-04-01-01-01-24.wav,24,01,01,01,sad,185,
pair_0093_happy,pair_0093,audio_speech_actors_01-24/Actor_24/03-01-03-01-01-02-24.wav,24,01,02,01,happy,186,
pair_0093_sad,pair_0093,audio_speech_actors_01-24/Actor_24/03-01-04-01-01-02-24.wav,24,01,02,01,sad,187,
pair_0094_happy,pair_0094,audio_speech_actors_01-24/Actor_24/03-01-03-01-02-01-24.wav,24,02,01,01,happy,188,
pair_0094_sad,pair_0094,audio_speech_actors_01-24/Actor_24/03-01-04-01-02-01-24.wav,24,02,01,01,sad,189,
pair_0095_happy,pair_0095,audio_speech_actors_01-24/Actor_24/03-01-03-01-02-02-24.wav,24,02,02,01,happy,190,
pair_0095_sad,pair_0095,audio_speech_actors_01-24/Actor_24/03-01-04-01-02-02-24.wav,24,02,02,01,sad,191,
