sample_id,pair_id,actor,statement,repetition,intensity,emotion,clean_margin
pair_0014_happy,pair_0014,04,02,01,01,happy,-3.6035590171813965
pair_0014_sad,pair_0014,04,02,01,01,sad,-3.5703775882720947
pair_0015_happy,pair_0015,04,02,02,01,happy,-3.3836679458618164
pair_0015_sad,pair_0015,04,02,02,01,sad,-3.808556318283081
pair_0016_happy,pair_0016,05,01,01,01,happy,-4.557373046875
pair_0016_sad,pair_0016,05,01,01,01,sad,-4.196678638458252
pair_0017_happy,pair_0017,05,01,02,01,happy,-4.383161544799805
pair_0017_sad,pair_0017,05,01,02,01,sad,-4.5589680671691895
pair_0018_happy,pair_0018,05,02,01,01,happy,-3.286710500717163
pair_0018_sad,pair_0018,05,02,01,01,sad,-3.481130361557007
pair_0019_happy,pair_0019,05,02,02,01,happy,-3.4755494594573975
pair_0019_sad,pair_0019,05,02,02,01,sad,-3.2868447303771973
pair_0020_happy,pair_0020,06,01,01,01,happy,-4.214656829833984
pair_0020_sad,pair_0020,06,01,01,01,sad,-4.52412223815918
pair_0021_happy,pair_0021,06,01,02,01,happy,-4.25598669052124
pair_0021_sad,pair_0021,06,01,02,01,sad,-4.614285469055176
pair_0022_happy,pair_0022,06,02,01,01,happy,-3.6021475791931152
pair_0022_sad,pair_0022,06,02,01,01,sad,-3.4650402069091797
pair_0023_happy,pair_0023,06,02,02,01,happy,-3.457305908203125
pair_0023_sad,pair_0023,06,02,02,01,sad,-3.6551520824432373
pair_0024_happy,pair_0024,07,01,01,01,happy,-4.384683609008789
pair_0024_sad,pair_0024,07,01,01,01,sad,-4.1672210693359375
pair_0025_happy,pair_0025,07,01,02,01,happy,-4.604063987731934
pair_0025_sad,pair_0025,07,01,02,01,sad,-4.696544170379639
pair_0026_happy,pair_0026,07,02,01,01,happy,-3.7800509929656982
pair_0026_sad,pair_0026,07,02,01,01,sad,-3.630866765975952
pair_0027_happy,pair_0027,07,02,02,01,happy,-3.7800509929656982
pair_0027_sad,pair_0027,07,02,02,01,sad,-3.5695126056671143
pair_0028_happy,pair_0028,08,01,01,01,happy,-3.8731539249420166
pair_0028_sad,pair_0028,08,01,01,01,sad,-5.036435127258301
pair_0029_happy,pair_0029,08,01,02,01,happy,-4.524965286254883
pair_0029_sad,pair_0029,08,01,02,01,sad,-4.290677070617676
pair_0030_happy,pair_0030,08,02,01,01,happy,-3.895028591156006
pair_0030_sad,pair_0030,08,02,01,01,sad,-2.6575613021850586
pair_0031_happy,pair_0031,08,02,02,01,happy,-3.81231689453125
pair_0031_sad,pair_0031,08,02,02,01,sad,-3.2720704078674316
pair_0032_happy,pair_0032,09,01,01,01,happy,-4.663866996765137
pair_0032_sad,pair_0032,09,01,01,01,sad,-4.710247993469238
pair_0033_happy,pair_0033,09,01,02,01,happy,-5.057777404785156
pair_0033_sad,pair_0033,09,01,02,01,sad,-4.2751312255859375
pair_0034_happy,pair_0034,09,02,01,01,happy,-3.9641289710998535
pair_0034_sad,pair_0034,09,02,01,01,sad,-3.916632652282715
pair_0035_happy,pair_0035,09,02,02,01,happy,-3.542358636856079
pair_0035_sad,pair_0035,09,02,02,01,sad,-4.2842607498168945
pair_0036_happy,pair_0036,10,01,01,01,happy,-4.150804042816162
pair_0036_sad,pair_0036,10,01,01,01,sad,-4.659658908843994
pair_0037_happy,pair_0037,10,01,02,01,happy,-4.401796817779541
pair_0037_sad,pair_0037,10,01,02,01,sad,-4.394583225250244
pair_0038_happy,pair_0038,10,02,01,01,happy,-3.654942512512207
pair_0038_sad,pair_0038,10,02,01,01,sad,-2.569734573364258
pair_0039_happy,pair_0039,10,02,02,01,happy,-3.5496907234191895
pair_0039_sad,pair_0039,10,02,02,01,sad,-3.347115993499756
pair_0040_happy,pair_0040,11,01,01,01,happy,-4.2292304039001465
pair_0040_sad,pair_0040,11,01,01,01,sad,-4.656558036804199
pair_0041_happy,pair_0041,11,01,02,01,happy,-4.719845771789551
pair_0041_sad,pair_0041,11,01,02,01,sad,-4.9697065353393555
pair_0042_happy,pair_0042,11,02,01,01,happy,-3.600306987762451
pair_0042_sad,pair_0042,11,02,01,01,sad,-3.4869284629821777
pair_0043_happy,pair_0043,11,02,02,01,happy,-3.6370222568511963
pair_0043_sad,pair_0043,11,02,02,01,sad,-3.4830188751220703
pair_0044_happy,pair_0044,12,01,01,01,happy,-4.7307024002075195
pair_0044_sad,pair_0044,12,01,01,01,sad,-4.494531631469727
pair_0045_happy,pair_0045,12,01,02,01,happy,-4.397916316986084
pair_0045_sad,pair_0045,12,01,02,01,sad,-4.50814151763916
pair_0046_happy,pair_0046,12,02,01,01,happy,-3.426363945007324
pair_0046_sad,pair_0046,12,02,01,01,sad,-3.8467795848846436
pair_0047_happy,pair_0047,12,02,02,01,happy,-3.49416446685791
pair_0047_sad,pair_0047,12,02,02,01,sad,-3.7190966606140137
pair_0048_happy,pair_0048,13,01,01,01,happy,-4.344440460205078
pair_0048_sad,pair_0048,13,01,01,01,sad,-4.3860063552856445
pair_0049_happy,pair_0049,13,01,02,01,happy,-4.29490327835083
pair_0049_sad,pair_0049,13,01,02,01,sad,-4.50346565246582
pair_0050_happy,pair_0050,13,02,01,01,happy,-3.187375545501709
pair_0050_sad,pair_0050,13,02,01,01,sad,-3.3296210765838623
pair_0051_happy,pair_0051,13,02,02,01,happy,-3.448737621307373
pair_0051_sad,pair_0051,13,02,02,01,sad,-3.277841091156006
pair_0052_happy,pair_0052,14,01,01,01,happy,-4.171508312225342
pair_0052_sad,pair_0052,14,01,01,01,sad,-4.786404132843018
pair_0053_happy,pair_0053,14,01,02,01,happy,-4.112044811248779
pair_0053_sad,pair_0053,14,01,02,01,sad,-4.676085948944092
pair_0054_happy,pair_0054,14,02,01,01,happy,-3.5748958587646484
pair_0054_sad,pair_0054,14,02,01,01,sad,-3.768885374069214
pair_0055_happy,pair_0055,14,02,02,01,happy,-3.3426270484924316
pair_0055_sad,pair_0055,14,02,02,01,sad,-3.8608345985412598
pair_0056_happy,pair_0056,15,01,01,01,happy,-4.230840682983398
pair_0056_sad,pair_0056,15,01,01,01,sad,-3.936347484588623
pair_0057_happy,pair_0057,15,01,02,01,happy,-4.441137313842773
pair_0057_sad,pair_0057,15,01,02,01,sad,-4.258543014526367
pair_0058_happy,pair_0058,15,02,01,01,happy,-3.800013780593872
pair_0058_sad,pair_0058,15,02,01,01,sad,-3.390519142150879
pair_0059_happy,pair_0059,15,02,02,01,happy,-3.5927512645721436
pair_0059_sad,pair_0059,15,02,02,01,sad,-4.272625923156738
pair_0060_happy,pair_0060,16,01,01,01,happy,-4.752762794494629
pair_0060_sad,pair_0060,16,01,01,01,sad,-4.683334827423096
pair_0061_happy,pair_0061,16,01,02,01,happy,-4.656552314758301
pair_0061_sad,pair_0061,16,01,02,01,sad,-4.103060722351074
pair_0062_happy,pair_0062,16,02,01,01,happy,-3.5628504753112793
pair_0062_sad,pair_0062,16,02,01,01,sad,-3.5368704795837402
pair_0063_happy,pair_0063,16,02,02,01,happy,-3.247852325439453
pair_0063_sad,pair_0063,16,02,02,01,sad,-3.712739944458008
pair_0064_happy,pair_0064,17,01,01,01,happy,-4.453313827514648
pair_0064_sad,pair_0064,17,01,01,01,sad,-4.434425354003906
pair_0065_happy,pair_0065,17,01,02,01,happy,-4.348764419555664
pair_0065_sad,pair_0065,17,01,02,01,sad,-4.28976583480835
pair_0066_happy,pair_0066,17,02,01,01,happy,-3.9196739196777344
pair_0066_sad,pair_0066,17,02,01,01,sad,-4.150018215179443
pair_0067_happy,pair_0067,17,02,02,01,happy,-3.8223073482513428
pair_0067_sad,pair_0067,17,02,02,01,sad,-3.4964675903320312
pair_0068_happy,pair_0068,18,01,01,01,happy,-4.009371280670166
pair_0068_sad,pair_0068,18,01,01,01,sad,-4.21242618560791
pair_0069_happy,pair_0069,18,01,02,01,happy,-3.73952054977417
pair_0069_sad,pair_0069,18,01,02,01,sad,-4.420629501342773
pair_0070_happy,pair_0070,18,02,01,01,happy,-3.849033832550049
pair_0070_sad,pair_0070,18,02,01,01,sad,-4.095071792602539
pair_0071_happy,pair_0071,18,02,02,01,happy,-4.281855583190918
pair_0071_sad,pair_0071,18,02,02,01,sad,-3.8288536071777344
pair_0072_happy,pair_0072,19,01,01,01,happy,-4.446919918060303
pair_0072_sad,pair_0072,19,01,01,01,sad,-4.709850788116455
pair_0073_happy,pair_0073,19,01,02,01,happy,-4.707800388336182
pair_0073_sad,pair_0073,19,01,02,01,sad,-4.421672344207764
pair_0074_happy,pair_0074,19,02,01,01,happy,-4.120583534240723
pair_0074_sad,pair_0074,19,02,01,01,sad,-5.197248458862305
pair_0075_happy,pair_0075,19,02,02,01,happy,-3.303211212158203
pair_0075_sad,pair_0075,19,02,02,01,sad,-3.246274471282959
pair_0076_happy,pair_0076,20,01,01,01,happy,-4.545580863952637
pair_0076_sad,pair_0076,20,01,01,01,sad,-4.708176612854004
pair_0077_happy,pair_0077,20,01,02,01,happy,-4.142257213592529
pair_0077_sad,pair_0077,20,01,02,01,sad,-4.00131893157959
pair_0078_happy,pair_0078,20,02,01,01,happy,-3.5017380714416504
pair_0078_sad,pair_0078,20,02,01,01,sad,-3.4527485370635986
pair_0079_happy,pair_0079,20,02,02,01,happy,-3.864936590194702
pair_0079_sad,pair_0079,20,02,02,01,sad,-3.65761661529541
pair_0080_happy,pair_0080,21,01,01,01,happy,-4.269933223724365
pair_0080_sad,pair_0080,21,01,01,01,sad,-4.09474515914917
pair_0081_happy,pair_0081,21,01,02,01,happy,-4.222221374511719
pair_0081_sad,pair_0081,21,01,02,01,sad,-4.20202112197876
pair_0082_happy,pair_0082,21,02,01,01,happy,-3.776475191116333
pair_0082_sad,pair_0082,21,02,01,01,sad,-3.3417794704437256
pair_0083_happy,pair_0083,21,02,02,01,happy,-3.3170056343078613
pair_0083_sad,pair_0083,21,02,02,01,sad,-3.4587490558624268
pair_0084_happy,pair_0084,22,01,01,01,happy,-4.489823341369629
pair_0084_sad,pair_0084,22,01,01,01,sad,-4.763824462890625
pair_0085_happy,pair_0085,22,01,02,01,happy,-4.036124229431152
pair_0085_sad,pair_0085,22,01,02,01,sad,-4.4401750564575195
pair_0086_happy,pair_0086,22,02,01,01,happy,-3.6062417030334473
pair_0086_sad,pair_0086,22,02,01,01,sad,-3.6647796630859375
pair_0087_happy,pair_0087,22,02,02,01,happy,-3.63923716545105
pair_0087_sad,pair_0087,22,02,02,01,sad,-3.512509346008301
pair_0088_happy,pair_0088,23,01,01,01,happy,-4.401366233825684
pair_0088_sad,pair_0088,23,01,01,01,sad,-4.017239093780518
pair_0089_happy,pair_0089,23,01,02,01,happy,-4.488677501678467
pair_0089_sad,pair_0089,23,01,02,01,sad,-4.4080986976623535
pair_0090_happy,pair_0090,23,02,01,01,happy,-3.967418670654297
pair_0090_sad,pair_0090,23,02,01,01,sad,-3.457728862762451
pair_0091_happy,pair_0091,23,02,02,01,happy,-3.599268674850464
pair_0091_sad,pair_0091,23,02,02,01,sad,-3.179276704788208
pair_0092_happy,pair_0092,24,01,01,01,happy,-4.097404479980469
pair_0092_sad,pair_0092,24,01,01,01,sad,-4.705519676208496
pair_0093_happy,pair_0093,24,01,02,01,happy,-4.184145927429199
pair_0093_sad,pair_0093,24,01,02,01,sad,-4.5940375328063965
pair_0094_happy,pair_0094,24,02,01,01,happy,-3.719454050064087
pair_0094_sad,pair_0094,24,02,01,01,sad,-3.6296300888061523
pair_0095_happy,pair_0095,24,02,02,01,happy,-3.743422269821167
pair_0095_sad,pair_0095,24,02,02,01,sad,-3.626431703567505
